ISO 8601 Date Time,Top of Conservation High (ac-ft),Top of Conservation High (ac-ft) notes,Top of Conservation (ac-ft),Top of Conservation (ac-ft) notes,Storage (ac-ft),Storage (ac-ft) notes,Elevation (ft-NGVD29),Elevation (ft-NGVD29) notes,Inflow (cfs),Inflow (cfs) notes,Outflow (cfs; 614 ft),Outflow (cfs; 614 ft) notes,Russian R @ Hopland (cfs; USGS),Russian R @ Hopland (cfs; USGS) notes,Precip @ Dam (in; 670 ft),Precip @ Dam (in; 670 ft) notes,Basin Precip,Basin Precip notes,Gross Pool,Gross Pool(elev),Russian R nr Ukiah (cfs),Russian R nr Ukiah (cfs) notes
2024-01-07T24:00:00-08:00,68400,0,68410,0,64203,0,734.95,0,144.67,0,34.53,0,374.82,0,0.01,0,-,-,116470,764.8,195.38,0
2024-01-08T24:00:00-08:00,68400,0,68410,0,64366,0,735.05,0,117.9,0,34.21,0,285.85,0,0,0,-,-,116470,764.8,139.64,0
2024-01-09T24:00:00-08:00,68400,0,68410,0,64660,0,735.23,0,183.98,0,33.4,0,318.52,0,0.45,0,-,-,116470,764.8,226.29,0
2024-01-10T24:00:00-08:00,68400,0,68410,0,65267,0,735.6,0,342.76,0,34.85,0,555.75,0,0.41,0,-,-,116470,764.8,650.39,0
2024-01-11T24:00:00-08:00,68400,0,68410,0,65809,0,735.93,0,310.48,0,34.74,0,1116.03,0,0.01,0,-,-,116470,764.8,632.03,0
2024-01-12T24:00:00-08:00,68400,0,68410,0,66089,0,736.1,0,177.76,0,34.76,0,533.37,0,0.01,0,-,-,116470,764.8,315.71,0
2024-01-13T24:00:00-08:00,68400,0,68410,0,69944,0,738.42,0,1979.23,0,34.81,0,2021.13,0,2.11,0,-,-,116470,764.8,2722.4,0
2024-01-14T24:00:00-08:00,68400,0,68410,0,71844,0,739.55,0,993.93,0,33.62,0,4730.89,0,0.03,0,-,-,116470,764.8,1747.75,0
2024-01-15T24:00:00-08:00,68400,0,68410,0,72368,0,739.86,0,351.57,0,84.29,0,1198.05,0,0,0,-,-,116470,764.8,605.3,0
2024-01-16T24:00:00-08:00,68400,0,68410,0,73028,0,740.25,0,457.45,0,123.75,0,878.92,0,0.82,0,-,-,116470,764.8,646.3,0
2024-01-17T24:00:00-08:00,68400,0,68410,0,73079,0,740.28,0,486.81,0,459.29,0,1697,0,0.06,0,-,-,116470,764.8,849.73,0
2024-01-18T24:00:00-08:00,68400,0,68410,0,71389,0,739.28,0,43.54,0,892.94,0,1618.95,0,0.02,0,-,-,116470,764.8,493.43,0
2024-01-19T24:00:00-08:00,68400,0,68410,0,70750,0,738.9,0,174.37,0,494.58,0,1372.51,0,0.46,0,-,-,116470,764.8,392.4,0
2024-01-20T24:00:00-08:00,68400,0,68410,0,72233,0,739.78,0,901.3,0,151.95,0,1666.92,0,0.42,0,-,-,116470,764.8,823.3,0
2024-01-21T24:00:00-08:00,68400,0,68410,0,73723,0,740.66,0,904.5,0,152.02,0,1779.79,0,0.76,0,-,-,116470,764.8,983.45,0
2024-01-22T24:00:00-08:00,68400,0,68410,0,75390,0,741.64,0,995.21,0,152.05,0,3051.11,0,0.09,0,-,-,116470,764.8,1179.73,0
2024-01-23T24:00:00-08:00,68400,0,68410,0,76055,0,742.03,0,493.49,0,151.99,0,1533.84,0,0.28,0,-,-,116470,764.8,645.63,0
2024-01-24T24:00:00-08:00,68400,0,68410,0,77423,0,742.83,0,847.37,0,152.11,0,1759.21,0,0.58,0,-,-,116470,764.8,905.29,0
2024-01-25T24:00:00-08:00,68400,0,68410,0,78109,0,743.23,0,499.11,0,150.01,0,1442.16,0,0.02,0,-,-,116470,764.8,658.6,0
2024-01-26T24:00:00-08:00,68400,0,68410,0,78332,0,743.36,0,348.9,0,234.82,0,1082.11,0,0,0,-,-,116470,764.8,475.2,0
2024-01-27T24:00:00-08:00,68400,0,68410,0,78298,0,743.34,0,286.95,0,301.18,0,930.17,0,0.01,0,-,-,116470,764.8,370.09,0
2024-01-28T24:00:00-08:00,68400,0,68410,0,78006,0,743.17,0,263.9,0,406.48,0,824.16,0,0.01,0,-,-,116470,764.8,305.88,0
2024-01-29T24:00:00-08:00,68400,0,68410,0,76414,0,742.24,0,79.15,0,877.21,0,1042.04,0,0,0,-,-,116470,764.8,256.78,0
2024-01-30T24:00:00-08:00,68400,0,68410,0,74454,0,741.09,0,-32.72,0,950,0,1577.02,0,0,0,-,-,116470,764.8,221.84,0
